"One Hint from Phoebus Dokos on Facebook 2017-12-31: ""Most .dot command versions in the BIN directory coming in the TBBLUE distributions are modified from the original ones""
and please read Comment on the end of this list about special extended .DOT-command (DOTN) for ZX Next (ZXN) and on extended (DOTX) commands which can be bigger than about 7k size
From ZX Next Distro v1.03 .DOT-commands for ZXN are completely found in directory \DOT\ and only those for esxDOS in \BIN\ directory! If DOT-Command is not found under /DOT it is searched for in /BIN (at least under NextZXOS v2.09)
Hint from Garry Lancaster: If you want to execute DOT-Commands like .ls from esxDOS under NextBASIC you can do this by running it with the complete path like e.g.: ./bin/ls
If you consider programming .DOT-commands on the Spectrum Next, please read the Comment from Robin Verhagen-Guest on Facebook-Group ""Spectrum Next Dev"" on 2025-01-01 at the End of this Sheet.

https://stackoverflow.com/questions/8779197/how-to-link-files-directly-from-github-raw-github-com Answer: Append ?raw=true at the end of the file link.",,,,,,,,,
".System-Command
Name",Version (Newest comes first),"Special Hardware required?
(e.g. ""SpecNext only"" or
""ZX-Uno only"").",Comment,First appeared included in this Version in esxDOS Version,Author,Download-Link:,Found on:,Usage:,Function:
.$,v1.4,SpecNext only,Executes any dot command with a string argument. .$ v1.3: fix for chaining large (>8K) dot commands such as .ls,---,Garry Lancaster,https://gitlab.com/thesmog358/tbblue/-/blob/master/dot/$,https://gitlab.com/thesmog358/tbblue/-/tree/master/dot,"SYNOPSIS:
 .$ <COMMAND> <LETTER>$

INFO:
eg:  LET x$=""myfile.dsk""
     .$ DEFRAG x$

does the same as:
     .DEFRAG myfile.dsk","Executes any dot command with a string argument.

Another example:

.cd /games/next/warhawk
.browse a$ -t nex
.$ nexload a$"
.128 (Fixed for esxDOS 0.8.7),,,Fixed for esxDOS 0.8.7 as described here by nagydani: http://board.esxdos.org/viewtopic.php?pid=1244#p1244,,Fixed for esxDOS 0.8.7 as described here by nagydani: http://board.esxdos.org/viewtopic.php?pid=1244#p1244,http://forum.tlienhard.com/phpBB3/download/file.php?id=8847,http://board.esxdos.org/viewtopic.php?pid=1244#p1244,,Fixed for esxDOS 0.8.7 as described here by nagydani: http://board.esxdos.org/viewtopic.php?pid=1244#p1244
.128 (Older),,,,ESXDOS 0.8.6 Final,lordcoxis,http://www.esxdos.org/files/esxdos086.zip,http://board.esxdos.org/viewtopic.php?pid=834#p834,,"From http://board.esxdos.org/viewtopic.php?pid=834#p834:
""[17/02/2018] Commands: Added .128 command to test 128K mode using Velesoft's ""zx128rom-for-divide"" ROM (lordcoxis)"""
.2browse,v0.01a1,"divMMC with min. 128k Memory and installed Package ""New File Browser for ZX-UNO"" (which can also be used on non-ZX-Uno-devices)"," 2browse - a twin pane file manager for esxDOS based on my long filename browser code.

Seems to hang under SpecNext NextBASIC. Only works with 48k/128k Personality esxDOS on SpecNext yet!",---,bob_fossil,http://www.thefossilrecord.co.uk/wp-content/uploads/zx/2BROWSE_001-1.zip,https://spectrumcomputing.co.uk/forums/viewtopic.php?f=9&t=6049,"2browse

2browse /diectory-name","Copy the contents of the 2browse BIN folder to the /BIN folder on your SD Card. To run, from BASIC enter: .2browse
or if you want to start browsing from a specific folder, in this case the /BIN folder: .2browse /bin

2browse supports browser plugins and the majority of keys from the long filename browser with the following additions:

Extended Mode - Swap between windows
Caps Shift + M - Move selected file to other window
Caps Shift + C - Copy selected file to other window

The following browser keys are not supported in 2browse:

Caps Shift + S - Save snapshot
Caps Shift + K - Poke
Caps Shift + L - External command
Caps Shift + N - Default NMI
Symbol Shift + F - Toggle full-screen file browser

Known issues:

    All file operations (Move, Copy, New Folder, Rename) are limited to 8.3 filenames.
    If you copy a file and then perform the same copy again, you aren't prompted to overwrite or abort the copy. You just get a cryptic error message displayed.
    2browse uses the BROWSE.CFG and font file from the long filename browser. Any changes you make to those will be carried over into 2browse.
    Copy and move operations cannot be aborted once started."
.50hz,v1.00,SpecNext only,Also works under 48k/128k Personality of Next,---,Luzie,https://forum.tlienhard.com/phpBB3/download/file.php?id=19871,https://forum.tlienhard.com/phpBB3/viewtopic.php?p=69372#p69372,.50hz,"Without Parameters:
Sets Display to 50Hz on Spectrum Next

With (any) Parameter: Displays help-screen"
.60hz,v1.00,SpecNext only,Also works under 48k/128k Personality of Next,---,Luzie,https://forum.tlienhard.com/phpBB3/download/file.php?id=19871,https://forum.tlienhard.com/phpBB3/viewtopic.php?p=69372#p69372,.60hz,"Without Parameters:
Sets Display to 60Hz on Spectrum Next

With (any) Parameter: Displays help-screen"
.7gfx_fo,v0.1,SpecNext only,dot7gFX set / Collection of FX (effects) tools for 8bit computer ZX Spectrum Next / fade-out effect for ZX Spectrum Next,---,Ped7g / Peter Helcmanovsky (Ped),https://itch.io/jam/dotjam/rate/1571495,https://itch.io/jam/dotjam,".7gfx_fo <pal> [<delay>]

fade-out palette to black

SYNOPSIS:
 ../7GFX_FO.DOT <pal> [<delay>]
ARGUMENTS:
 pal = <letter u|l|s|t>[0|1]
 delay = <integer 1..255>

EXAMPLE:
 ../7GFX_FO.DOT u1 3
     fades second ULA palette
     in 21 frames (delay * 7)","### what it does and how to use it

Fades out selected palette `<pal>` until all is black, in 7 steps.

The speed of the fade can be adjusted by `<delay>` option, default delay
is 6 frames per step, that is 6 * 7 = 42 frames in total, ~0.84s at 50Hz.

The faded palette is being uploaded at scanline 224 (below 320x256 area with
nextreg $64 (100) set to zero).

The fadeout effect takes about ~40 scanlines to calculate and apply palette
changes, so there should be plenty of CPU time left for your own routines
running in interrupt, like music player, etc.

After the dot command is finished, the selected palette is set completely
to black color, it's up to caller to modify it further.
"
.associate,,,"Was removed from SpecNext Master with comment: ""Remove .ASSOCIATE (deprecated)""",---,,,https://gitlab.com/thesmog358/tbblue/-/commit/070e329cc8d0db28add56364154963a09fe6b80e,,"Was removed from SpecNext Master with comment: ""Remove .ASSOCIATE (deprecated)"""
.backoff,,SpecNext only,SpecNext only,---,,https://sourceforge.net/projects/zesarux/files/Beta_and_Snapshot_versions/ZEsarUX_extras-5.1.zip/download,"Included in bin directory of \ZEsarUX\extras\media\disk_images\tbblue.mmc Image-File
",,
.backon,,SpecNext only,SpecNext only,---,,https://sourceforge.net/projects/zesarux/files/Beta_and_Snapshot_versions/ZEsarUX_extras-5.1.zip/download,"Included in bin directory of \ZEsarUX\extras\media\disk_images\tbblue.mmc Image-File
",,
.bmp2next,,SpecNext only,SpecNext only,---,Alcoholics Anonymous (The PC version was written by Jim Bagley).,As postet 2017-11-11 on: http://board.esxdos.org/viewtopic.php?pid=555#p555 this can now be found on: https://github.com/z88dk/z88dk/tree/master/libsrc/_DEVELOPMENT/EXAMPLES/zxn/dot-command,http://board.esxdos.org/viewtopic.php?pid=308#p308,"BMP2Next Usage :-
.bmp2next src.bmp [dst.bmp]",bmp2next converts standard 256-colour bitmaps to bitmaps using the Next's RRRGGGBB palette.
.bmpload,,SpecNext only,Maybe SpecNext only,---,,https://sourceforge.net/projects/zesarux/files/Beta_and_Snapshot_versions/ZEsarUX_extras-5.1.zip/download,"Included in bin directory of \ZEsarUX\extras\media\disk_images\tbblue.mmc Image-File
",picload <filename> to load image to background,
.browse,v0.13,,Some people rename this .browse to .b so it can be started faster with this shorter name,"Included in Package ""New File Browser for ZX-UNO"" (which can also be used on non-ZX-Uno-devices)",bob_fossil,http://www.thefossilrecord.co.uk/wp-content/uploads/zx/BROWSE_latest.zip,https://spectrumcomputing.co.uk/forums/viewtopic.php?p=36335#p36335,browse,
.browse,v1.2,SpecNext only,SpecNext only/Requires NextZXOS,,Garry Lancaster,https://gitlab.com/thesmog358/tbblue/-/tree/master/dot,,"BROWSE [OPTION]... VARIABLE$
OPTIONS:
-h, --help
Display this help
-t, --type EXT
Add EXT to selectable types
Wildcards * or ? allowed
Multiple -t options allowed
-p, --prompt PROMPT
Custom help prompt
Can include:
\i inverse on
\o inverse off
-s, --save
Ask for new filename
-e, --edit PROMPT
Custom prompt for edit/save
-8, --8.3
Return short name (not LFN)
-r, --rename
Allow rename with R key
-d, --delete
Allow erase with E key
-k, --mkdir
Allow mkdir with K key
-m, --remount
Allow remount with M key
-u, --unmount
Allow unmount with U key
-c, --copy
Allow copy/paste with C/P","Uses Browser to select filename
"
.brwsfont,v0.01,,"Part of Package ""New File Browser for ZX-UNO"" (which can also be used on non-ZX-Uno-devices) up from v0.23-Test5. Helptext of .brwsfont from v0.23-Test4 package shows typo in commandname with incorrect: .brwsfnt instead of correct: .brwsfont",,bob_fossil,http://www.thefossilrecord.co.uk/wp-content/uploads/zx/BROWSE_TEST023-5.zip,https://www.spectrumcomputing.co.uk/forums/viewtopic.php?p=97819#p97819,"brwsfont -l
to list the available fonts for the browser
brwsfont BOLD
installs BOLD Font
brwsfont -r
restores default font

Hint from User ""Chris23235"":
Options only work when written lowercase!",
.cd,,,Different from ESXDOS 0.7.3 Public BETA,ESXDOS 0.8.0 Public BETA,,http://www.esxdos.org/files/esxdos080.zip,http://www.esxdos.org/index.html,,Change directory
.cd (Older),,,,ESXDOS 0.7.3 Public BETA,,http://www.esxdos.org/files/esxdos073.zip,http://www.esxdos.org/index.html,,Change directory
.ch8show,v0.5.0b,SpecNext only,, ---,"Stale Pixels
( https://www.stalepixels.com/ )",https://github.com/StalePixels/D3,https://www.stalepixels.com/software/D3/#ch8show,"Show a font file
CH8SHOW /path/to/file.ch8",".CH8SHOW - View 768b/1k 1bit font files in ROM/UDG format inspired by Damien Guard's zx-origins project.

We define ROM format fonts as:

    1bit per pixel
    8×8 fixed size
    Breadth first

A common file format for a collection 96 of these is a CH8 file – 768bytes long.

Damien Guard maintains the most awesome ZX-Origins collection, and is a great place to get yourself some CH8 files if you ever find the need.
.CH8SHOW previewing Damien’s super-cool Cinema font.

The display will automatically adjust if passed a 128character long font-file, instead of a 96 character one – these are detected by the 1k, instead of usual 768byte, file-length.

Internally, we developed .CH8SHOW as a companion for FoaK – as part of the promised open source support commands that the released app came with.

The 1k (files with UDG extension) exports also work with .CH8SHOW perfectly."
.checkerb, v1.0,,,,Luzie,https://www.magentacloud.de/lnk/O8gGDSLV,http://board.esxdos.org/viewtopic.php?pid=1410#p1410,"Without Parameters: Displays Checkerboard

With Parameters: Displays help-screen. Press any key to quit!",Display a Checkerboard of Attributes over your Screen. Helps you to find hidden content in loading screens like those on: http://www.worldofspectrum.org/equinox/eggs/screens.php
.chmod,,,,ESXDOS 0.8.0 Public BETA,,http://www.esxdos.org/files/esxdos080.zip,http://www.esxdos.org/index.html,"chmod opmode file

op: +|- mode: rwxash",
.clear,v1.1,SpecNext only,"SpecNext only

.clear dot command to free all currently-allocated resources

Updated .clear to v1.1: restore default interrupt modes", ---,Garry Lancaster,https://gitlab.com/thesmog358/tbblue/-/raw/d874b9425373f93e67b82470c369c90db9289a95/dot/CLEAR,https://gitlab.com/thesmog358/tbblue/-/commit/d874b9425373f93e67b82470c369c90db9289a95,clear,"CLEAR v1.1 by Garry Lancaster
Releases all allocated resources
leaving maximum available memory

NOTE: Uses integer register %a

SYNOPSIS:
.CLEAR"
.cls,,SpecNext only,Maybe SpecNext only,---,,https://sourceforge.net/projects/zesarux/files/Beta_and_Snapshot_versions/ZEsarUX_extras-5.1.zip/download,"Included in bin directory of \ZEsarUX\extras\media\disk_images\tbblue.mmc Image-File
",,
.cotton,,SpecNext only,"A Spectrum Next tribute to the late, great June Brown / A silly little submission to the ZX Spectrum Next DotJam contest. Just a little play on the name of command line executables - 'dot' cotton.",---,Adam Ainsworth,https://adam-ainsworth.itch.io/cotton,https://itch.io/jam/dotjam,.cotton,
.cowsay,,SpecNext only,"The one from SpecNext-Distro seems to be SpecNext only, as it doesn´t work on esxDOS 0.8.7 and in code this can be found: ""Requires NextZX""

The other from Authors Homepage seems to run on esxDOS 0.8.7",System-Next v.1.03 Distro - this version is other size than the one from https://retrobits.altervista.org/blog/2017/11/dot-command-fun/,The Fuchsia Authors,http://somebitsofme.altervista.org/misc/spectrum/dotCommands/cowsay.zip,https://retrobits.altervista.org/blog/2017/11/dot-command-fun/,.cowsay [message],
.cp,,,Different from ESXDOS 0.7.4 Public BETA (bugfix release),ESXDOS 0.8.0 Public BETA,,http://www.esxdos.org/files/esxdos080.zip,http://www.esxdos.org/index.html,cp source target,
.cp (Older),v0.1,,,ESXDOS 0.7.4 Public BETA (bugfix release),(c) ub880d (aka Dusky),http://www.esxdos.org/files/esxdos074.zip,http://www.esxdos.org/index.html,cp <filename> <filename>,
.d80,v0.7f,Warning: Do not use the old esxDOS v.0.8.8 (eg. in the the Omni computer). You may corrupt files or your SD card !,Version limitations: 0.7f  not tested with MDOS3 disk images. Developed and tested on: eLeMeNt ZX computer and MB03+ interface,,SCjoe / eZX / MB,https://zxfiles.net/esxdos/D80.TAR,https://spectrumcomputing.co.uk/forums/viewtopic.php?p=192319#p192319,"D80 image[.ext]  directory list

D80 [switches] image[.ext]

If no extension is given, the
command tries appending .D80
first, then .D40. If neither
exists, an error is reported.

Accepted filename variants:
  FLOPPY
  FLOPPY.
  FLOPPY.D80
  FLOPPY.D40","SWITCHES
================================
-x  Export files from image to SD card.
-c  Create a new blank disk image file (.D80 only).
-n  No Scroll? disables the prompt after printing the entire page.
-d  Write directory listing to a file instead of screen.
  Output filename:
    FLOPPY       -> FLOPPY.DIR
    FLOPPY.      -> FLOPPY.DIR
    FLOPPY.EXT   -> FLOPPY.EXT
      (EXT is any other extension, LST,PRN,OUT, except the D80,D40)
If the file already exists, you will be asked: Overwrite? Y/N
-i  Display disk image info: format, capacity, FAT statistics and directory slot counts by file type."
.date,,,Source-Code is available,---,Victor Trucco,https://gitlab.com/victor.trucco/RTC/raw/master/commands/DATE,https://gitlab.com/victor.trucco/RTC,"date <ENTER> show current date
date DD/MM/YYYY <ENTER>
set the date
Date must be greater than 01/01/2000",Date and Time for RTC / Realtime-Clock / ZX Spectrum Next / TBBlue 
.dfwload,v0.1,,"Don´t know, what this is used for. Has asked about it here: http://board.esxdos.org/viewtopic.php?pid=1371#p1371 - Added Info thankfully to SCjoe on: http://board.esxdos.org/viewtopic.php?pid=1976#p1976",ESXDOS 0.8.7 Final,(c) ub880d,http://www.esxdos.org/files/esxdos087.zip,http://board.esxdos.org/viewtopic.php?pid=1233#p1233,dfwload <filename>,".dfwload v0.1 (c) 2015 ub880d. .DFWLOAD is used to upload other firmware to the so-called ""mapram"". Mapram is suitable e.g. for testing firmware without the need to re-flash divide/divmmc."
.displayedge,,SpecNext only,Also part of the official SpecNext distribution,,Peter Ped Helcmanovsky (ped7g),https://github.com/ped7g/ZXSpectrumNextMisc,https://github.com/ped7g/ZXSpectrumNextMisc,.displayedge,"dot command .displayedge to check visible area of your ZX Next display, storing the information into global config file + runtime library to read the config and use user's values in your own SW to narrow down used screen space by your SW."
.divideo,,,Also part of the official SpecNext distribution,ESXDOS 0.8.5 Final,Matt Westcott (Gasman),http://www.esxdos.org/files/esxdos085.zip,http://www.esxdos.org/index.html,divideo [dvofile],"Play a DivIDEo video stream file (.dvo)
divideo - ESXDOS command for playing .dvo video files
1. Copy the file 'divideo' to the /bin directory of your ESXDOS drive.
2. Copy some .dvo files there too (see http://divideo.zxdemo.org/).
3. Boot up ESXDOS, and run:
        .divideo my_video.dvo
NB: The .dvo files must be fully unfragmented on disk to work correctly... 

Remarks: Seems only to run with divIDE and not divMMC?!

DivIDEo Website"" DivIDEo: Streaming video for the ZX Spectrum"": http://divideo.zxdemo.org/"
.dmaplayw,,ZX-Uno only,ZX-UNO only,---,mcleod_ideafix,"Source and examples at: 
http://svn.zxuno.com/svn/zxuno/software/dma/dmaplayw",http://board.esxdos.org/viewtopic.php?pid=774#p774,.dmaplayw,.dmaplayw : (ZX-UNO only). Plays an audio WAV file using Specdrum (for 8 bit sound output) and ZX-UNO DMA. WAV file needs to be encoded as 8 bit unsigned samples and 15625 Hz sampling frequency. 
.dotjam,,SpecNext only,"DOTJAMMIN / Emulator breaking, VGA50! :P / update for all screen modes & forgot some assets, now works in Cspect.",---,em00k,https://em00k.itch.io/dotjammin,https://itch.io/jam/dotjam,.dotjam,
.dotsdir,v1.0 (/BIN/-Version),,".DOTSDIR (/BIN/-Version) v1.00
by Luzie67@gmx.de

Help: This one should tell you
the path /BIN/ or /DOT/
to see which is processed first

There are two versions, of
.DOTSDIR - one comes to:
/BIN/DOTSDIR (this one)
and the other comes to:
/DOT/DOTSDIR

",,Luzie67@gmx.de,https://forum.tlienhard.com/phpBB3/download/file.php?id=19964,,Usage: .DOTSDIR without argument,
.dotsdir,v1.0 (/DOT/-Version),,".DOTSDIR (/DOT/-Version) v1.00
by Luzie67@gmx.de

Help: This one should tell you
the path /BIN/ or /DOT/
to see which is processed first

There are two versions, of
.DOTSDIR - one comes to:
/DOT/DOTSDIR (this one)
and the other comes to:
/BIN/DOTSDIR",,Luzie67@gmx.de,https://forum.tlienhard.com/phpBB3/download/file.php?id=19964,,.DOTSDIR without argument,
.drives,v0.2,,,ESXDOS 0.8.6 Final,Dr. Slump (=david_ps) (aka David Pesqueira Souto),https://www.dropbox.com/s/fanj6y3ka769lct/drives?dl=0,http://board.esxdos.org/viewtopic.php?pid=721#p721,".drives v0.2 By Dr. Slump 2018

Usage: drives [args]

-1 use M_DRIVEINFO syscall (*)
-2 use M_GETSETDRV syscall
-3 use DISK_INFO syscall
* default option

-? this help info","New release of dot command, drives, v0.2:
Corrected problem with File System and Volume Label
Source-Code released on 2023-03-21 at: 
https://github.com/dr-slump-0/esxDOS-NMI-Navigator"
.drives (Older),v0.1,,,,Dr. Slump (=david_ps) (aka David Pesqueira Souto),https://www.dropbox.com/s/x8o8zd5pdbbvfv9/hexview_v0.1.zip?dl=0,http://board.esxdos.org/viewtopic.php?pid=571#p571,".drives [args]
-1 use M_DRIVEINFO syscall (*)
-2 use M_GETSETDRV syscall
-3 use DISK_INFO syscall
* default option
-? this help info","It show all detected drives/devices by esxDOS, using various methods."
